case_id,variant,mode,draw,message,gold,candidates,expected,prompt,output_raw,output_norm,matched,in_list,correct,latency_ms,tokens
P1,exact,free,0,it keeps crashing whenever I hit save,bug_report,refund|tracking|account|bug_report,bug_report,"Candidate intents:
refund: the user wants money back for a purchase
tracking: the user wants to know where their order is
account: the user is asking about login or profile
bug_report: the user reports something is broken
User message: it keeps crashing whenever I hit save

Answer with exactly one intent name from the list above.",bug_report,bug_report,True,True,True,4798.7,3
P0,exact,enum,0,where is my package?,tracking,refund|tracking|account,tracking,"Candidate intents:
refund: the user wants money back for a purchase
tracking: the user wants to know where their order is
account: the user is asking about login or profile
User message: where is my package?

Answer with exactly one intent name from the list above.",tracking,tracking,True,True,True,4878.2,4
P0,exact,free,1,where is my package?,tracking,refund|tracking|account,tracking,"Candidate intents:
refund: the user wants money back for a purchase
tracking: the user wants to know where their order is
account: the user is asking about login or profile
User message: where is my package?

Answer with exactly one intent name from the list above.",tracking,tracking,True,True,True,4901.8,2
P0,exact,enum,1,where is my package?,tracking,refund|tracking|account,tracking,"Candidate intents:
refund: the user wants money back for a purchase
tracking: the user wants to know where their order is
account: the user is asking about login or profile
User message: where is my package?

Answer with exactly one intent name from the list above.",tracking,tracking,True,True,True,4962.4,4
P0,exact,free,2,where is my package?,tracking,refund|tracking|account,tracking,"Candidate intents:
refund: the user wants money back for a purchase
tracking: the user wants to know where their order is
account: the user is asking about login or profile
User message: where is my package?

Answer with exactly one intent name from the list above.",tracking,tracking,True,True,True,4985.5,2
P0,exact,enum,2,where is my package?,tracking,refund|tracking|account,tracking,"Candidate intents:
refund: the user wants money back for a purchase
tracking: the user wants to know where their order is
account: the user is asking about login or profile
User message: where is my package?

Answer with exactly one intent name from the list above.",tracking,tracking,True,True,True,5046.6,4
P0,exact,free,0,where is my package?,tracking,refund|tracking|account,tracking,"Candidate intents:
refund: the user wants money back for a purchase
tracking: the user wants to know where their order is
account: the user is asking about login or profile
User message: where is my package?

Answer with exactly one intent name from the list above.",tracking,tracking,True,True,True,5070.8,2
P1,exact,free,1,it keeps crashing whenever I hit save,bug_report,refund|tracking|account|bug_report,bug_report,"Candidate intents:
refund: the user wants money back for a purchase
tracking: the user wants to know where their order is
account: the user is asking about login or profile
bug_report: the user reports something is broken
User message: it keeps crashing whenever I hit save

Answer with exactly one intent name from the list above.",bug_report,bug_report,True,True,True,5105.7,3
P1,exact,free,2,it keeps crashing whenever I hit save,bug_report,refund|tracking|account|bug_report,bug_report,"Candidate intents:
refund: the user wants money back for a purchase
tracking: the user wants to know where their order is
account: the user is asking about login or profile
bug_report: the user reports something is broken
User message: it keeps crashing whenever I hit save

Answer with exactly one intent name from the list above.",bug_report,bug_report,True,True,True,2240.9,3
P1,exact,enum,1,it keeps crashing whenever I hit save,bug_report,refund|tracking|account|bug_report,bug_report,"Candidate intents:
refund: the user wants money back for a purchase
tracking: the user wants to know where their order is
account: the user is asking about login or profile
bug_report: the user reports something is broken
User message: it keeps crashing whenever I hit save

Answer with exactly one intent name from the list above.",bug_report,bug_report,True,True,True,2299.4,5
P1,exact,enum,0,it keeps crashing whenever I hit save,bug_report,refund|tracking|account|bug_report,bug_report,"Candidate intents:
refund: the user wants money back for a purchase
tracking: the user wants to know where their order is
account: the user is asking about login or profile
bug_report: the user reports something is broken
User message: it keeps crashing whenever I hit save

Answer with exactly one intent name from the list above.",bug_report,bug_report,True,True,True,2404.8,5
P2,exact,free,0,can we move our 8pm table to 9pm tonight,reservation,refund|tracking|reservation|dietary_request,reservation,"Candidate intents:
refund: wants money back
tracking: where their order is
reservation: book or change a table
dietary_request: asking about allergens or dietary options
User message: can we move our 8pm table to 9pm tonight

Answer with exactly one intent name from the list above.",reservation,reservation,True,True,True,2329.3,2
P1,exact,enum,2,it keeps crashing whenever I hit save,bug_report,refund|tracking|account|bug_report,bug_report,"Candidate intents:
refund: the user wants money back for a purchase
tracking: the user wants to know where their order is
account: the user is asking about login or profile
bug_report: the user reports something is broken
User message: it keeps crashing whenever I hit save

Answer with exactly one intent name from the list above.",bug_report,bug_report,True,True,True,2436.9,5
P2,exact,free,1,can we move our 8pm table to 9pm tonight,reservation,refund|tracking|reservation|dietary_request,reservation,"Candidate intents:
refund: wants money back
tracking: where their order is
reservation: book or change a table
dietary_request: asking about allergens or dietary options
User message: can we move our 8pm table to 9pm tonight

Answer with exactly one intent name from the list above.",reservation,reservation,True,True,True,2382.1,2
